ID,nom,fonction,annees,statut,parent,public,support,similaire-a,wikidata,comptoir-du-libre,licence,contexte-usage,label,groupe,version_min,version_max
182,RStudio,Environnement de développement intégré (IDE) pour le langage de programmation R.,2020 ; 2021 ; 2022,R,,,Oui,,Q4798119,366,AGPL-3.0,En version 1.2 à l'ANCT,,MIMDEV,N/A,
183,SecureFlag Community,Outil d'entraînement à la sécurité d'applications,2020 ; 2021 ; 2022,R,,,,,,367,GPL-3.0,,,MIMDEV,N/A,
184,Redis,Système de gestion de base de données,2020 ; 2021 ; 2022,R,,,Oui,,Q2136322,365,BSD-3-Clause,En version 5.0.7 à Sorbonne université,,MIMPROD,N/A,
185,Archifiltre,Système d'aide à l'archivage de fichiers,2020 ; 2021 ; 2022,R,,Oui,,194,Q77064547,368,MIT,En version 2.0.x aux ministères sociaux,,MIMO,2.0.x,
186,Dia,Outil de création de diagrammes,2018,FR,,,,,Q958908,66,GPL-2.0,,,MIMO,N/A,
187,Prometheus,Supervision Infrastructure et composants,2020 ; 2021 ; 2022,O,,,,,,374,Apache-2.0,,,MIMPROD,2.5,
188,Grafana,Supervision Infrastructure et composants,2020 ; 2021 ; 2022,O,,,Oui,,Q43399271,373,Apache-2.0,,,MIMPROD,6.x,
189,OpenIO,Logiciel de stockage objets,2019 ; 2020 ; 2021 ; 2022,O,,,,,Q30348631,376,AGPL-3.0,,,MIMPROD,19.10,
190,Correcteur terminologique fr (FranceTerme),Correction terminologique à partir de la base FranceTerme,2018 ; 2019,R,LibreOffice,,,,,,LGPL-2.1,,,MIMO,1.7,
191,Pulse,Télédéploiement et télédiffusion des composants techniques et métiers sur les postes de travail Windows/Linux/Mac,2020 ; 2021 ; 2022,O,GLPI,,,,,377,GPL-2.0,,,MIMO,4,
192,ProjeQtOr,Outil de gestion de projet,2020 ; 2021 ; 2022,O,,,,119 ; 122,Q17501773,375,AGPL-3,,,MIMO,8.3,
193,OpenShot,Logiciel d'édition de vidéos,2020 ; 2021 ; 2022,R,,,,15,Q769346,379,GPL-3,[Site de l'académie de Rouen](http://numeriques.spip.ac-rouen.fr/?Openshot),,MIMO,2.4.3,
194,VITAM,Solution d'archivage électronique,2020 ; 2021 ; 2022,R,,Oui,,185,Q65130365,323,CECILL-2.1,[www.programmevitam.fr](https://www.programmevitam.fr),,MIMO,2.1.18,
195,Opale,Création de module de formation linéaire multi-support,2020 ; 2021 ; 2022,O,,,,,Q91312803,380,"MPL-2.0, GPL-3.0, LGPL-3.0, CECILL-2.1","Création de module de formation pour utilisation en ligne ou présentielle, avec des ressources interactives, cf. [support web](https://example.scenari.software/Opale@3.7/auroraW) et [support papier](https:// example.scenari.software/Opale@3.7/paper)",,MIMO,3.7,
196,BigBlueButton,Serveur de visioconférence pour navigateurs WEB en HTML5,2020 ; 2021 ; 2022,R,,,Oui,67,Q4904858,384,LGPL-3.0,"Cours en ligne, formation et présentation à distance à l'académie de Versailles",,MIMO,2.4,
197,Peertube,Plateforme d'hébergement décentralisée de vidéos,2020 ; 2021 ; 2022,O,,,,210,Q50938515,140,AGPL-3.0-or-later,,,MIMPROD,3.x,
